short_name,total
J. McGlashan,92+290+654
J. Slew,84-571+169
Min Sang Gi,767167
K. Issah,545650
D. Rose,80+18159
C. Jolley,81-483-262
N. Ansell,675843
Sillero,493456
T. Naylor,666744
Lee Han Saem,614155
F. Weiß,797558
M. Gajos,7371+1059
J. Irvine,62-25760
J. Meffert,526059
J. Geria,68-86655
D. Remick,84+271+256
A. Hoole,7974-858
G. Cochrane,81+26356
J. Straus,716159
C. Jelves,594650
R. Vanegas,887960
J. Blanco,686064
P. Gaitán,73-57451
F. Heerkens,634461
L. Nielsen,534053
R. Emond,656561
D. Garcia,75-47555
M. Sumusalo,767456
R. Al Ruwaili,493055
M. Al Enezi,39-556-250
Yeray,676453
L. Villagra,646060
A. Oudrhiri,696656
Y. Cabral,53-104049+2
W. Sea,83+272+754
A. Bedell,58+1044-166
G. Ward,77+46649
Jang Eun Kyu,675764
Álvaro Bustos,565764
L. Figueroa,605860
J. Ranneaud,666461
E. Prono,747458
M. Wittek,687457
S. Martínez,676560
O. Berber,736151
H. Balioğlu,523957
Alex Berenguer,655460
L. Staw,253448
D. North,728058
N. Çalışkan,787359
M. Randall,696161
G. McCabe,719056
T. Elliott,818258
J. Goda,524244
A. McGurk,7361+1254+6
J. Magennis,805956+1
T. Fröschl,6561-663+20
A. Bouhaddouz,636255
E. Zelazny,463042
M. Jessen,685857
R. Strasser,697260-1
A. Ataif,726663
O. Mård,273359
D. Ervik,666155
J. Grandison,8062+2457
A. Little,716759
D. Mojsov,626362
M. Halstead,512651
A. Wiedeman,69+1456+558
Lee Hyun Woong,736156
M. Maak,34-214852
A. Tutte,75-676+369
B. Coker,7575+161
J. Cassidy,716457-3
K. Porter,63+261-161
A. Struna,596049
Lim Ha Ram,788065
R. Sjöstedt,756462
Jung Seung Yong,727744
Sin Se Gye,767961
R. Brown,656362
J. Washausen,636158
G. Korte,7981+255
T. Hitchcock,7379+255
Iker Hernández,484754
A. Hsissane,5863+560+1
L. Zwoliński,686662
P. Cairney,64-658-1462
M. Khudari,616156
B. Al Muntasheri,626250
T. Brauer,505856
A. Berzel,706463
Lee Jung Hyup,565952
A. Nkili,746165
N. Baouia,746058
J. Arboleda,776462
A. Aguerre,463860
G. Rodríguez Rojas,747058
Carlos,603455
Carles Mas,6436-643
N. Valentini,635152-1
A. Gonzalez,827458
G. Varela,6356+157
Leo Ramírez,50-159+148
A. González,6066+855
D. Dorozhkin,444956
C. Venegas,62-35764+5
Song Soo Young,686153
K. Parsemain,77+56562
Pana,526652
N. Perez,666756
U. Akdemir,627064
M. Madri,726855
Luis Ruiz,705458
R. Rotman,645652
G. Saavedra,483754
Jon García,594854
D. Martínez,756359
B. Brown,846642
A. Pagerie,685450
D. Johnson,727248
Serramitja,666254
S. Okuno,586952
C. Osorio,677458
Luiz,746355
Igor Arnáez,715163
F. Guichón,746550
G. Evans,737265
E. Nolan,716663
L. Prosser,625653
K. Özer,807454
V. Skjerve,674758
J. Smith,707264
C. Obeng,77-77957
J. Devitt,778245
R. Köse,353439
Riau,817758
R. Grant,737560
C. Schösswendter,32-152848+15
O. Feldballe,767256
Víctor Ibañez,2838+450
K. Matute,817263-1
Y. Cuesta,375058
Leonardo,333052
S. Kinney,64+16259
A. Madueña,735957
M. Nanchoff,74+16661
I. Getigezhev,596255
T. Dočekal,505654
S. Jombati,727349
Yu Ji Hoon,726062
N. Cardozo,725758
L. Oyebanjo,716956
Javi Rey,53-154+162+1
V. Janjetović,393365+5
S. Al Moasher,878544
P. Fradj,625857+10
E. Bastianoni,413759-1
S. Luštica,697455
Puertas,61-263+159+3
J. Gutiérrez,70-383+252
O. Vidal,858957
F. Bahamondes,66-466-451
F. Cordero,73-877-550-3
R. Aponzá,797259
F. Ricci,71+36255-1
D. Bejarano,71+115254
R. Mahazi,655952
Kim Sun Min,706655
M. Oesterhelweg,746152+3
F. Cañaveral,726263
D. Sysuev,567256
J. González,664758
R. Kortzorg,827951
E. Burgos,525248
Carlos Nieto,626459
D. Del Vasco,684052
V. Braaten,525057
M. Wasiluk,443447
D. Charles,7370+256+7
S. Clohessy,78+57050-2
A. Grant,68-271+263
A. Dugdale,5856+147
S. Eastwood,486060
S. Rigg,83+17362
T. Piermayr,63-46563
J. Thiesson,626061
D. Holmes,65-158+1061-1
S. Ryall,68+26056
R. Eckersley,696058
J. O'Toole,656864
B. Dembélé,7259-152
J. Martin,676355-4
M. Marrone,656360
C. Oualembo,777453
E. Rodríguez,686658
S. Francis,85+65867
B. Paulsen,6457+558+10
D. Ferreira,606263
J. Bertilsson,767351
M. Boxall,51-2433-3950-5
C. Grossman,56-86363
Lee Hyo Kyun,576560
D. Rose,657562+10
M. Pardo,615157
A. Bani Yaseen,666857
K. Bani Attiah,8676+252
Aimar,615260
Eraso,625254
I. Cissé,816555
M. Riquelme,466058
G. Soriola,794652
L. Wilson,807360
C. Zebroski,707168
M. Knaller,514860
T. Elrich,787157
R. Howe,724551
T. Regan,463444
N. Kalmar,527055
D. Keat,635658
R. Richter,55-96659
Lee Woong Hee,737459
P. Tuszyński,715755
W. Al Swed,7672+259
H. Berríos,59-468-335
Y. Rueda,777962
D. Lovitz,735953
S. Rodić,443949
F. Franke,484447
R. León,728252
S. Elliott,32-528+253-3
M. Edwards,445956
I. Sharps,33-113255
J. Hayter,52-56156-5
R. Humphreys,52-1458-464+4
C. Hackett,78-871+557
P. van der Vlag,332555
S. Brenne,646263
J. Mikkelsen,345869
P. Montandon,34-1861+1056
B. Jensen,233354
M. Sparrow,556364
J. Walker,225358
P. Mills,475054+2
P. Agyemang,636161
D. Noble,586360
K. O'Connor,32-174754
L. Neal,62-26360
C. Woodman,695962-7
K. Stamatopoulos,303459
A. Frampton,444258
Alberto,473153
H. El Fakiri,637361
C. Bockhorni,62-25748
S. Craig,677055
P. Hayes,57-46364
R. Stevenson,6670+360
G. Robertson,6164+655
L. Kryger,686570
M. Harrold,55-25653
M. Bean,687260-4
Jin Kyung Sun,758466
G. McDonald,625864
M. Sereinig,674247
K. Thomson,557065
M. Almazán,39-1133-150-1
B. Hüttenbrenner,6558+261
S. Ernemann,775861
De Navas,383751
Reguero,355964
G. Rogers,355551
J. Portin,494860
G. Thompson,726162
H. Madsen,76-27171
K. Odejayi,664757
C. Zola,644551
D. Ward,31-173452
J. Castillo,426355
G. Andersen,525645
Kim Tae Su,397662
M. Żytko,61+251-150
Álvaro Corral,494256
V. Jalasto,543650
C. Birchall,665960-5
B. Clarke,544853
A. Barrett,423356
F. Perraud,342464
I. Turner,34-2848-1865
B. Anklev,776463
D. Shiels,748158
I. Black,757261
A. Shanitsyn,706865
B. Fuller,626358
L. Pidgeley,445068
V. Aridità,233048-1
R. Harley,597160-4
S. Jordan,686959
T. Lochhead,63+749-159
S. Smith,635763
S. Szeliga,437345
S. Ignatiev,667039
I. Yakubu,614849
J. Akpa Akpro,82+1581+1349
B. Purkiss,52-855-262
L. Jones,554742
R. Sutton,54-453+149
K. Nykiel,676348
A. Mangan,746561
A. Fatullaev,63+567+560-1
E. Horwood,676647
D. Talbot,70-865+946
B. Corr,66+25670
M. Robail,59-656-1658+1
Manu García,674865
J. Hurme,767760
N. Donazzan,736464
T. Charles,595748
G. Iliev,706854
T. Jacobsen,766658
R. Hansen,646460
Lee Kang Jin,583655
D. Flores,565148
M. Östberg,493561
J. Arvidsson,615857
A. Sandell,675861
R. Boco,757048
D. Paladini,71+77160
P. Brezovan,243356
T. Nowak,748456
O. Cummings,72-27551
D. Woodards,65-267-364
A. Shuhail,8584+461-8
K. Reynish,31-1035-349
S. Griffiths,677257
P. Benson,526064
V. Božović,645967
A. Gessa,455967
A. Grimes,6881+458
P. Malinowski,81-583+149
E. Kılıç,747262
A. Griffith,674856
I. Miller,706241
A. Viana,68+36658
D. Imrie,819060
G. Velasco,69-567-747-21
Fábinho,75-37561
D. Bernhardt,383158
A. Fallatah,86+179-367
A. Al Traidi,56-36662
C. Valoyes,767559
B. Al Khamees,44-259+256
A. Al Astaa,78+173+262
D. Chatto,677364
A. Dykstra,47-857+229-14
M. Kurtiši,797758
M. Massad,64-865-560
H. Ernst,535357
Y. Al Mosailem,324960
J. Durand,295558+14
D. Ivanovski,646262
M. Božok,637556
J. Dumesnil,514755
M. Helle,676358
D. Jawad,69-16260-1
Park Gi Dong,614560
D. Wiklander,716564
Dorronsoro,556766
L. Olum,61-657+157
L. Pajoy,496760
S. McNulty,302660
I. Madkhali,70-1167-357
Y. Al Muslem,6632-266
A. Al Khair,60-274+737
L. Moralejo,295157-4
S. Al Yami,75+674+257
N. Pond,483965+11
Y. Kuleshov,666162
J. King,646350
V. Arze,667158
A. Bagceci,756752
C. Reid,71+858+657+4
S. López,443763
C. Reynero,545050
V. Sarabia,69-371-161+10
A. Nu'man,696548
M. Lepe,59-45550
M. Aguirre,59-369+262
I. Čvorović,493754
H. Turki,716146
V. Steklov,617954
M. Lepskiy,715942
O. Zarif,576863
Lee Jae Won,644448
G. Díaz,535451
R. Bogado,473367
M. Bergese,696956
J. Huentelaf,696346
D. Oltolina,686754
J. Brezovec,565166
R. Ledson,605661
J. Boga,786552
G. Pollace,676656-1
G. Waldschmidt,7676+151
K. Akpoguma,5853+248
M. Antic,645857
L. Baker,696359
M. Ott,819048
L. Filippini,646251-1
J. Hiwula,73+761+357
S. Simic,605443-1
A. Loi,63-172+1054-1
M. Schulz,546156
A. Capello,696949
M. Steinmann,51+25453+2
M. Targett,696054
H. Gulden,707147
J. Hesketh,717654
C. Lester,747537
E. Zejnullahu,687156+3
C. Akpom,88+107748
B. Walker,69+473+1054
A. Camara,65-159+452-7
M. Friedrich,54+250+1048
L. Zander,69+36759
E. Berko,69-46851
M. Netolitzky,393454
R. Seager,7356+346
R. N'Gouma,644852
B. Agounon,7067+1152
D. Dussaut,605959
M. Thorsby,646562
D. Marsura,63-16555-1
D. Henen,717247
K. Rossi,775948
I. Zuev,5351+956
J. Swift,67+35862+1
M. Caldara,605648-1
J. Araya,69-1065+159
Riera,555847
C. McGrandles,706956
B. Garratt,515666+23
L. McAlinden,69-16258
A. Leonov,474165
J. Loveridge,726851
Brandon Thomas,7380+464+7
G. Engvall,77+461+261+12
G. Monachello,535751
C. Long,74+254+363
J. Kaprof,715054
L. Vumbi Bundu,72-878+459
Kike Torrent,53-66049
S. Bastien,453759
E. Brito,757757
C. Riveros,727861
M. Osei Kwadwo,738553
R. Riveros,727354
L. Azouni,61-260+762
A. Youga,613658
A. Gasilin,696659
J. Gyamerah,76-17858
E. Llanes,57-581+1953-1
A. Gatto,6457+549-1
D. Sánchez,504862
F. Honorat,755453
T. Leibold,6874+155
G. Martínez,62+95458-1
W. Kuaté,747271
T. Thompson,73+16763
A. Guidiala,7670+154-1
A. Kara,655350
S. de Wit,656359
A. Mendy,585860
G. Burke,596659
O. García,44-1061-142-1
A. Wynter,646462
J. Hammar,554648
D. Amankwaa,82+57249+9
J. Loza,8384+149+11
J. Naismith,76+1155+255+7
R. Bentancourt,726261-1
R. Edwards,778057
A. Trondsen,737072
P. Banggaard Jensen,455143
N. Nikolić,58+104945
Rafa,7885+1954
M. Contreras,67-371-162
G. Fraser,66+25856+6
C. Radza,453265
S. Lizana,68-183+2548+1
Campins,77+157+256
José García,70+271+252
M. Pérez Acuña,675654+8
J. Gerezgiher,687454
Jimmy,726360
K. Diks,674257
A. Cummins,545446
J. Ruffels,627260
S. Hewitt,687257
R. Woods,778258
B. Daniels,667058
D. Wright,80-27336
D. Moberg-Karlsson,867248
R. Fiamozzi,695960-1
V. Rankovic,697253
B. Davies,736251+5
S. Ospina,566956
L. Ashcroft,66+564+3160+9
N. de Bondt,765736
D. Djigla,82+471+551
A. Gundersen,486148
A. Jönsson Salétros,657156
S. Khaoui,72+177+451
Cañi,55-45760
L. Paramatti,554155-1
J. Valdemarín,746551
N. Datković,554149-1
D. Kuzyaev,767148
F. Jominy,727354
A. Tashaev,605259
E. Sorokin,614352
J. Meades,746360
L. Williams,807347
Henrique Miranda,717463
D. Pappoe,49-847-548
H. Kabasele,485455
A. Kamara,757248
T. Eisfeld,747649
K. Houdret,586162
De La Hoz,585055
T. Peyre,646156
K. Karaman,53-150+855
E. Ba,746453
S. Zaniou,727153
L. Abergel,686767
K. Mullin,81+77758
J. Figueroa,567262
L. Muriel,505945
J. Karlström,635055
A. Sowe,80+1566+553-1
S. Derkx,675350
M. Brouwer,403758
G. Menéndez,87+263-137-1
C. Johansson,594946
N. Sonko Sundberg,644853
M. Amondarain,59-24949
N. Orsini,635960
Vadillo,58-159+146
A. Lundqvist,757166
J. Lolley,84+1769+1547
Kim Jin Young,423362
P. Seguin,545357
T. Castagne,624347
Kevin Sousa,483957
W. Huizing,615052
S. Djuric,727452
R. Noble-Lazarus,806864-3
F. Rodriguez,536562-1
T. Agdestein,726158
K. Holmberg,717658
S. Hoskins,8488+750+4
K. Jabbie,645066
T. Schilk,67+161+360
Sergi Juste,67+170+263
L. Toshney,65-15843
S. Gündüz,6982+258+5
E. Ataseven,635158
K. Osyra,573943-5
Rubén Sobrino,55-35660
H. Ndong,76+475+457
M. Castañeda,70-17065-1
T. Al Absi,6345-2847+6
A. Zaldívar,65-163-158-1
André Teixeira,696356
M. Baldan,666450-1
E. Pérez,675861
D. Kun,85+672+1336
Cho Won Deuk,656457
Yu Je Ho,686652
A. Claeys,524442
I. Depe,806739
P. Sergeev,607353
M. Egho,726251
S. Jacob,666358
Juan Muñoz,515454
R. van der Meer,345446
Y. Bodiger,585457
G. Čaušić,615652
Queijeiro,646056
Diogo Gouveia,605959
M. Hansson,465064
P. Hellquist,737161
L. Rooney,758050
G. Sandberg-Magnusson,575661
F. Midtsjø,677161
Aday,66-26175
A. Nukan,593450
D. Thomalla,697153
V. Oliver,6566+653
A. Soukouna,726458
C. Bolger,643449
N. Byrne,81-37162
A. Bååth,676153
C. Townsend,686360
J. Mattheij,525052
J. Blaswich,313148
R. Fij,313455
K. Sainte-Luce,90+588+263
José Carlos,555161
Gallardo,60-14755
M. Harrer,727660
Rober,68-168-150
H. Bahebri,80+179+159
D. Shebanov,463158
C. Chapman,644642
M. Kuttin,443653
Edgar Abreu,738151
L. Quintana,66+1458-751-1
Mendi,52-24655-2
J. Johnson,79+17443
J. Marié,73+166+768+13
S. Willems,747161
S. O'Donnell,727158
J. Cardona,343259
J. Hessenthaler,74+481+1562+3
D. Rodríguez,594947
R. Contreras,64+57658
P. Sarr,76+568+638
C. Washington,8379+356
F. Zampano,755755-1
A. Ferrari,554953-1
F. Flores,6160+651
J. Rinne,443354
J. Jaramillo,655763
J. Segura,717051
C. Dessers,785853
L. Grill,624849
C. de Reuver,656454
D. Luxbacher,726955
Tiago,303247
S. Lainer,755758
G. Moyano,698046
Ricardinho,706555
L. Pineda,483760
N. Quiroga,696155
Denzell Mora,634948
J. Leutwiler,555957
E. Parish,403953
J. Compton,75-870-259
A. MacDonald,677356
E. Schreiner,736962
M. Lund,735656
L. Ridehalgh,63-26353-2
V. Ustinov,616254
M. Tagilov,6874-160
T. Hovda,537157
D. Bertoncini,656348
M. Cullen,687156
K. Mellor,706650
E. Scheel,677164
F. Ardizzone,686857
Choi Bo Kyung,657273
D. Drescher,43-851+257
A. Forrester,706546
K. Hemmings,745447
P. Camara,443646
Jordi César,59-36550
L. Zuta,716563
N. Coussement,695652
R. Putsche,686153
R. Edwards,716455
A. Thomasson,657058
B. Ownby,71+26457
M. Pogba,725850-1
N. Lomb,364254
T. Ebner,6858+156
Park Hee Seong,636547
Alberto,644958
Kim Nam Chun,644935
J. Stertzer,55+157+262
Cifuentes,687061
K. Coulibaly,65-276+1452
J. Chunga,436951
R. Fernández,637556
G. Kodogiannis,58-372+447
S. Ramhorn,665851
A. Sadiku,745762
J. Vega,668049
S. Mockenhaupt,625653
J. Murillo,687659
K. Jónsson,645747
A. Takrouni,483046
Carlos Ramos,655263
Shim Sang Min,696159
Kwon Wan Gyu,646055
Tiago Silva,64+266+1355
E. Tozlu,706765
G. Godeken,626959
D. Bartolini,667442
M. Bersang,776146
Agus,746749
A. Walongwa,645956
M. Ebenhofer,736341
M. Rolón,565936
A. Díaz,666756
M. Gómez,767056
Mikel Merino,645659
Guti,635156
J. Routledge,707155
R. Gaynor,817153
M. Gajić,715957
M. Coda,546068
A. Mansally,81-48451
S. Ofori-Twumasi,9087+555+3
S. Zenjov,695564
P. Komolov,517456
G. Agbossoumonde,72+46254
N. Low,70+37258+6
C. Lewington,555968
H. Pell,7168+1558
J. Bøge,675861
L. D'Ath,7283+154
C. Chantler,82+580+453
A. Omrani,72+171+456
Borja Granero,607066
B. Williamson,8479+256
Elton Monteiro,62-55757
C. Lancaster,64-563-760
Kim Jin Hwan,645854
E. Tønne,697262
A. Guira,65+467+565+14
Fábio Santos,303855
L. Wroński,747145
Y. Mvogo,453359
Park Sun Yong,666064
Oh Ban Suk,615954
S. Friðgeirsson,584858
M. Koné,61-160+550
Agostinho Cá,72+165+147
H. Yahya,54+457+1150
M. Flekken,283454
T. Muller,54-246265
V. Kamešs,625638
M. Obekop,82-28050
M. Opazo,52-567-453
M. Céliz,747646
J. Alvacete,795462
J. Gómez,68-371-151
P. Feres,67-36057
S. Gigot,57-260+1953
U. Berglann,795750
E. Miller,84+35853
J. Zwischenbrugger,686265+13
A. Navarro,60-45656-1
Z. Abarouai,665353
F. Cervi,688058
C. Báez,736254
G. Bettini,686852
M. Demetriou,737252
B. Zech,503346
Barnils,594049
J. Iglesias,686956
A. Prokić,697461
C. Deutschmann,634143
L. Fall,645552
F. Bell,747140
O. Pineda,667455
E. Bulucu,544252
S. Uzun,676357
A. Pellegrino,747347
David Bigas,676362
Maykel,695059
Sandro,545251
L. Akins,686853
A. Lukse,463264
D. Hylton,687062
M. Holness,315942
W. Atkinson,71+27053
E. Lyng,725957
C. Clements,52-576+138
T. Gornell,6870-561
D. McCrory,697042
K. Danning,928249
C. Shields,615658
B. Köse,615557
C. Clifford,716551
A. Boyle,545456
E. Lenjani,717658
Fran García,757763
C. Robertson,657055
C. Korb,77+58159
B. Meredith,52+1141-243
L. Thomas,285839
M. Dolan,6771+1148
J. Schoop,797348
E. Sigurbjörnsson,626155
T. Dieng,615354
D. Turkovs,655663
Park Yong Jae,686266
I. Sy,443357
Alberto Martín,625856
C. Rugg,78-16252
J. Olsson,686052
Fausto,756361
A. Delgado,77-380+147-1
R. Saldías,8175+554
O. Chikere,514556
Rúben Dionísio,423953
César Vinuesa,6354+261+2
Fonseca,413849
D. Gaysin,517453
E. Gomes,715649
E. Godswill,725961
F. Ouaamar,546762
R. Janzen,534554
A. Arrighini,605951
A. Pugin,615938
José Pereira,453656
Escribano,706558
Estellés,624352
Juanra,725953
R. Imingen,694356
L. Molyneux,736562
S. McAllister,606663
M. Siegfried,554746
J. Phillips,728444
J. Brown,827342
E. Richards,8182+153+3
J. Hingert,67-56858
P. Salomon,707064
D. McGowan,5549-1257
R. Seebacher,7875+249
O. Norburn,727052
F. Pinteaux,7068+955
M. N'Diaye,726155
A. Al Kaabi,80-173+150
M. Blair,816451
W. Bakshween,7177+258
M. Aseri,70-573+261
A. Reyes,44+44943
O. Ortiz,66-143-152-1
A. Busin,83+1673+938
P. Leimonas,586561
K. Vassell,82+1564+651
J. Gradit,65-261+449
G. Thorisson,544448
M. Leca,70+751+251
Xavi Carmona,6754+258
S. Moreo,493453
L. Berry,745861
Y. Klukowski,766556
Diego,705147
F. Fioramonti,695960
D. Öksüz,413550
A. Farías,656152
L. Wilson,857256
C. James,767057
L. Dodds,6970-153
R. Cresswell,614758
I. Konuk,626064
A. Redmayne,425152+5
D. Toth,80+18354+5
I. Niasse,575556
M. Morys,686455
D. Myrestam,777563
M. Jurman,544740
M. Haber,51-1769+162
O. Heieren Hansen,344959
L. Blanchard,545157
P. Jeréz,54-45745
J. Silva,747646
M. Azira,67-16656
J. Svahn,666944
H. Björnsson,675649
A. Kilin,698939
S. Lewis,536451
J. Brown,817252+5
S. Davies,252256
S. Heslop,717153
J. Frempong,808652
J. Rask,363135
B. Tozer,6156+652
P. Trytko,53-260+553
A. Morris,62-16458-2
P. Abrahamsson,414251
C. Wiktorsson,595852
R. Bonne,676055
K. Boutaïb,505949
F. Rodríguez,535758
D. Cetré,454852
C. Carlsson,806133
C. Day,203453
A. Neil,337065
M. Oakley,4962+2062-3
D. Holden,325957
C. Porter,6156+158
A. Dawson,50-261-762-3
S. Collins,35-42645
J. Dempster,535348
B. Mullan,59-64451
D. Mobaeck,415763
H. Jónsson,454653
D. Carter,53-355+260
D. Bulman,54-34461
A. Murray,516761
M. Bloomfield,615766
M. Richards,6659+255
M. Phillips,636354
S. Ramsden,536354
P. Connolly,665858
M. Fotheringham,565563
G. Varol,666461
S. Farelli,424250
R. Foster,798163
A. Davies,54-36159
A. Whing,606758
G. McSheffrey,52-767-151
A. Favre,604243
P. Baldwin,534256
J. Castillejos,595452
S. Christensen,737064
B. Sevim,415431
E. Tuncel,332554
I. Kaleshin,635451
P. Alikin,685556
A. Bennett,32-52949-2
D. Murray,325350
B. Ryan,363961
M. Christensen,736264
J. White,6462-958
S. O'Hanlon,633455
V. Nikitović,604948
J. Ertl,6138-1961
Fran Moreno,564953
M. Poke,535454
R. Rico,665658
A. Vincent,90+682+458
J. N'Do,327054
A. Katsalapov,636959
David de Paula,7179+156
R. Henry,736361
S. Boyd,53+15146
J. Young,656055
M. Rose,706354
R. Nygaard,815648
C. Kenna,553152
B. Murphy,345659
A. Keane,635655
A. Makarenko,716162
P. Seeger,706556
A. Hassan,425363
M. Dahlberg,423662
G. Peers,535349
R. Quinn,616064
M. Gardyne,80-69052-6
I. Diallo,74+274+361
R. Brenes,626255
Josu,686552
A. Lienhart,684650
S. Kotov,384256
M. Mutsch,51-559+460
H. Furebotn,6968+1158+13
Kim Young Sam,678758
M. Pode,737261
E. Frejd,524245
M. Carlini,768958
A. Milani,7376+1067-1
G. Tomlin,788345
S. Saunders,68-184+138
K. Mohamed,8175+153
R. Simpson,68+35862
N. Marinković,626262
S. Wood,757148
M. Morgan,63-852-1058
Tito,576359
D. Decamps,335859
Song Je Heon,637760
M. Al Marhum,50-443-553
D. Frölund,505658
E. Hedvall,233750
L. Legge,524454
Kim Kun Houn,653444
D. Nilsson,585761
Song Chang Ho,787466
T. Breive,628251
E. Al Mahyani,6776+866
G. Di Groggi,626657
K. Rejaib,406265
M. Sharefi,433654
D. Vaca,423858
O. Abdulaziz,7288-349
M. Muath,6072+561+10
F. Adu Kwame,88+1461+252
C. Rojas,56-466-349
W. Buenaños,433956
I. Corredor,616860
T. Mikuckis,475847
P. Tavima,584660
M. O'Sullivan,735653
S. Pennacchio,667155
L. Tesák,677452
C. Leite,483447
V. Fernandes,87+982+1051
D. Leguiza,656458
E. González,705735
J. Hurtado,484064
R. Camminata,797556
S. Fofana,68+565+959
W. Kaptoum,68+160+155
C. Robinson,757055
J. Sims,78+16139
D. Kownacki,686356
V. Berisha,52-15456-1
S. Owobowale,857840
J. Graham,777550
D. Cole,846345
J. Binnom-Williams,767944
D. Mesenhöler,503460
C. Musonda,717958
H. Lorentzen,697256
J. Stobbs,786252
F. Palacios Martínez,788145
F. Aveni,777661
T. Wellenreuther,463755
M. Gatto,737149
G. Sciacca,584957
N. Brandenburger,67-16956
S. Coulthirst,6973+657
R. Haynes,726348
L. Wahlqvist,693960
L. Citti,47-24548-1
V. Sulejmani,695842
D. Boldor,574655
P. Müller,676841
M. Yévenes,616854
R. McLaughlin,796451
P. Deligiannidis,846436
R. Heller,424055
J. Bandowski,6260+150
P. Galdames,64-572+863
V. Parigini,717241
C. Halucha,716754
I. Pomazun,453055
M. Schwäbe,423955
J. Murphy,79+171+1335
F. Stritzel,324450
E. Hestad,777261
P. Stolarski,7764-2245
U. Ikpeazu,675843
H. Sakhi,737150
R. Brown,7670+152+4
Rafael Floro,726656
J. Bikel,778258
M. Suella,63-16045-1
H. Wilson,75+869+941
L. Gooch,685754
M. Benson,78+157653
K. Tamás,757664
M. Ritter,767550
O. Zawada,555149
N. Merabti,576357
P. van Amersfoort,565152
A. Phillips,72+373+1640
A. Sala,464448-1
J. Vanlerberghe,727042
M. Nawe,383148
J. Balmy,93+692+453
A. Grassi,59-16555-1
J. Olausson,58-25554-1
J. Ramírez,70-16556-1
G. Jung,586257
J. Lundstram,666759
S. Johnson,53-25854+7
M. Beck,675755
C. Banya,827147
M. Markin,636653
C. McFadzean,777449
M. O'Hara,66+45161
R. Colclough,807145
D. Gape,527158
A. Vindheim,746258
L. Spalvis,6557+348
C. Stanko,5864-352+2
A. Sørloth,734254
J. Mero,473853
J. Flannigan,646351
J. Gilchrist,67+262+449
B. Constant,785956
J. Araya,70-365-354
C. Brannagan,6769+1752
P. Vouros,594343
P. Huser,635752
S. Fassi,285152
A. Borgmann,645258
A. Okrah,817255
M. Latour,736460
D. Mellor,655861
H. Kryeziu,747565
C. Gayle,74+872+961
J. Blackman,453352
P. Katsetis,716140-1
F. Flores,67-365-154-1
C. Meppen-Walter,535749
J. Fenlon,747061
D. Butler,767664
J. Powell,606848
T. Svedkauskas,443858
S. Kelly,68+24756+2
B. Magaña,532861
J. Leghait,726154+5
J. Fabri,423460
J. Arizala,756260
K. Madianga,655649
D. Formella,74+260+750
B. Jradi,777552
I. Bebou,81+27753
L. Dubois,6874+1656
I. Pardo,596051
A. Boniotti,70+573+654-1
M. Barnes,705657
E. Mammana,635554
L. Agnew,5961+1154
B. Saban,667359
K. Hafez,696655
S. Stankevičius,544657
K. Kotsaris,526951
J. Grønner,425748
T. Barkhuizen,787455
H. Hollis,323728
C. Dunne,79-17661
J. Frick,423657
F. Spiess,455949
D. Berntsen,827263
A. Mendoza,68+125655-1
T. Chow,646160
F. Dao Castellana,7670+261
C. Gortemaker,645854
L. García,463251
K. Nowak,7883+857
Rubén Ramiro,70-37751
Kwon Chang Hoon,494655
H. Marín,67+551-152-1
A. Mabil,93+58329
S. Gustafson,697345
J. Musso,463252
C. Jones,604451
E. Rakip,687154
M. Cain,695657+9
J. Randazzo,5660+2045
Aladje,605055-1
B. Sarnavskyi,373257
L. Vera,626159
H. Chikhaoui,586955
A. Cochran,62+1140-155
A. Zeneli,787544
J. Vélez,6380+154
Q. Ngakoutou,73+176+650
E. Bruzzi,535354-1
E. Ersu,392356
Afonso Figueiredo,778058
L. Nshole Makondi,676457
R. Kist,413552
M. Thrane,705655
M. Curado,433649
M. Ndao,726456
J. Castro,626054
D. Ndi,606160
M. González,565064
O. Oularé,615456
R. Spiegel,565959
M. Storey,80-178+957
C. Wyke,6275+155
C. McHugh,82+2465+1649
C. Thompson,878060
S. McCartan,91+47455
S. Sandberg,625958
J. Guthrie,684656+9
A. Uryga,494262
M. Kretzschmar,7075+149
M. Fredriksen,687236
J. Björkman,545856
K. Kadyrov,72+496+2463
G. Evans,665853
I. Tajouri Shradi,748234
J. Hanson,52-334-649
M. Crépeau,49+457+248
A. Christensen,554852
R. Ureña,63-37660
R. Ranftl,725864
S. Warmolts,655450
D. Perger,686953
M. de Vlugt,786637
S. Marreh,60-260+160+1
S. Diomande,6174+2247
C. Lenglet,45-842+145
E. Gómez,6559+557
D. Granli,725655
M. Manotas,696756
M. N'Zuzi Mata,74+269+451
T. Zając,81+1793+4154
J. Vleugels,657256
B. Schmidt,595554
E. Kartal,817157
F. Yaman,665951
J. Oviedo,777051
S. Petricciuolo,657352
S. Jainta,767438
N. Dekoké,655455
Matías,777648
P. Strasser,525056
D. Cornell,475653
L. Noble,748165
R. Brennan,645558
M. McClure,7175+144
R. Watson,6370+143
A. Thompson,62+75957
D. Blazevic,265259
M. Doughty,63-77555
M. Falkesgaard,445844
L. Berardocco,627261
Sergio Díaz,737562
C. Raglan,655742
P. Witasik,705549
L. Thompson,7174+855+4
A. Webster,55-152+152
